,times,opens,highs,lows,closes,volumes
0,1584748800000.0,1362.55,1372.94,1279.66,1291.82,449.020584
1,1584749700000.0,1287.42,1299.98,1262.1,1292.77,195.602119
2,1584750600000.0,1291.99,1339.58,1291.99,1336.71,164.793854
3,1584751500000.0,1337.17,1350.34,1314.63,1319.83,144.127253
4,1584752400000.0,1310.5,1378.0,1307.47,1366.17,142.955111
5,1584753300000.0,1375.02,1421.0,1350.77,1416.07,487.571949
6,1584754200000.0,1417.5,1417.51,1362.34,1389.28,218.222141
7,1584755100000.0,1389.38,1407.9,1379.3,1407.9,186.995691
8,1584756000000.0,1409.98,1478.24,1402.62,1454.17,345.078608
9,1584756900000.0,1462.35,1474.22,1375.08,1386.78,336.988853
10,1584757800000.0,1387.7,1410.0,1375.08,1396.89,204.543622
11,1584758700000.0,1398.79,1445.56,1382.82,1403.03,359.3598
12,1584759600000.0,1405.0,1405.44,1357.42,1377.44,218.779437
13,1584760500000.0,1378.03,1378.34,1329.43,1360.94,238.422613
14,1584761400000.0,1359.0,1378.83,1344.42,1369.92,169.041815
15,1584762300000.0,1374.8,1402.0,1364.04,1402.0,130.836456
16,1584763200000.0,1398.01,1430.52,1369.13,1371.07,206.288451
17,1584764100000.0,1377.0,1389.42,1359.77,1383.92,147.410818
18,1584765000000.0,1383.92,1394.69,1350.0,1360.32,87.244644
19,1584765900000.0,1361.81,1367.06,1315.71,1341.17,258.470737
20,1584766800000.0,1335.44,1361.09,1330.0,1330.0,136.905021
21,1584767700000.0,1331.37,1345.0,1319.73,1323.62,72.991337
22,1584768600000.0,1323.68,1323.68,1279.84,1310.56,286.905161
23,1584769500000.0,1310.57,1325.92,1281.75,1298.15,117.701168
24,1584770400000.0,1300.02,1308.49,1251.86,1308.04,272.499609
25,1584771300000.0,1301.67,1326.3,1294.74,1319.84,153.492126
26,1584772200000.0,1318.52,1324.56,1302.69,1324.56,93.665053
27,1584773100000.0,1324.56,1382.15,1324.56,1378.0,235.108331
28,1584774000000.0,1376.17,1380.24,1303.99,1313.15,236.970844
29,1584774900000.0,1316.21,1327.73,1285.38,1309.89,152.308774
30,1584775800000.0,1306.87,1338.26,1294.07,1315.71,198.020128
31,1584776700000.0,1314.32,1336.78,1307.0,1323.94,134.768077
32,1584777600000.0,1322.47,1325.0,1272.9,1290.56,274.138559
33,1584778500000.0,1294.99,1295.27,1180.0,1295.27,696.642698
34,1584779400000.0,1297.04,1323.36,1281.56,1311.0,185.059002
35,1584780300000.0,1308.33,1328.1,1288.8,1299.35,228.866032
36,1584781200000.0,1298.07,1310.07,1255.05,1272.28,187.178461
37,1584782100000.0,1269.0,1287.9,1191.09,1203.01,356.321095
38,1584783000000.0,1203.55,1230.0,1155.09,1190.31,473.648047
39,1584783900000.0,1191.05,1240.0,1191.05,1210.02,275.288079
40,1584784800000.0,1210.0,1231.96,1190.31,1231.96,163.954019
41,1584785700000.0,1231.95,1247.76,1206.55,1238.22,188.948995
42,1584786600000.0,1234.83,1243.94,1226.39,1230.98,255.50331
43,1584787500000.0,1237.71,1243.94,1193.64,1205.96,254.397906
44,1584788400000.0,1205.01,1207.09,1171.5,1190.89,229.082222
45,1584789300000.0,1187.01,1215.03,1140.0,1212.28,473.447819
46,1584790200000.0,1215.0,1237.0,1202.1,1228.45,223.106895
47,1584791100000.0,1225.17,1300.0,1224.78,1295.67,373.53477
48,1584792000000.0,1295.67,1365.99,1277.71,1318.66,479.813663
49,1584792900000.0,1318.77,1347.01,1299.07,1340.0,294.822464
50,1584793800000.0,1336.82,1366.0,1294.07,1314.2,303.387025
51,1584794700000.0,1314.2,1336.95,1308.66,1308.95,210.817927
52,1584795600000.0,1311.7,1341.23,1311.7,1324.99,194.88138
53,1584796500000.0,1324.99,1395.42,1320.95,1390.33,234.833307
54,1584797400000.0,1395.43,1400.0,1345.74,1356.97,372.87214
55,1584798300000.0,1356.98,1374.64,1320.0,1326.01,259.583961
56,1584799200000.0,1327.01,1362.67,1326.75,1354.58,198.207217
57,1584800100000.0,1354.58,1371.55,1307.0,1319.62,228.645985
58,1584801000000.0,1319.0,1329.7,1295.0,1318.22,224.893641
59,1584801900000.0,1318.92,1340.0,1309.3,1336.74,99.945946
60,1584802800000.0,1340.0,1378.3,1337.47,1346.97,217.26406
61,1584803700000.0,1351.31,1368.37,1312.06,1326.87,182.041799
62,1584804600000.0,1328.67,1375.0,1326.87,1353.49,167.619199
63,1584805500000.0,1359.28,1382.82,1350.36,1367.07,186.295242
64,1584806400000.0,1366.2,1396.18,1332.74,1360.9,394.458857
65,1584807300000.0,1363.12,1378.73,1315.24,1342.15,322.010428
66,1584808200000.0,1333.68,1344.2,1315.0,1330.28,131.363427
67,1584809100000.0,1330.28,1338.66,1300.0,1312.01,171.744882
68,1584810000000.0,1312.01,1341.81,1312.01,1326.95,82.092933
69,1584810900000.0,1325.0,1332.65,1310.43,1320.53,81.82567
70,1584811800000.0,1320.0,1339.41,1312.94,1316.03,114.221219
71,1584812700000.0,1316.04,1320.47,1254.68,1272.86,391.050518
72,1584813600000.0,1273.48,1289.99,1259.73,1283.33,251.703668
73,1584814500000.0,1277.31,1390.0,1274.0,1360.45,492.131319
74,1584815400000.0,1357.82,1382.82,1350.01,1363.74,392.106919
75,1584816300000.0,1363.62,1372.7,1333.0,1365.0,525.007569
76,1584817200000.0,1365.0,1390.11,1357.77,1382.58,283.960031
77,1584818100000.0,1385.64,1391.41,1366.54,1368.31,244.216449
78,1584819000000.0,1368.31,1384.1,1350.17,1382.0,184.436887
79,1584819900000.0,1382.0,1388.75,1357.71,1371.76,138.63505
80,1584820800000.0,1371.76,1379.99,1327.5,1351.59,535.730555
81,1584821700000.0,1351.58,1374.93,1351.58,1369.54,376.271232
82,1584822600000.0,1372.41,1517.0,1357.95,1451.39,831.390197
83,1584823500000.0,1450.0,1477.71,1376.53,1434.8,617.355808
84,1584824400000.0,1437.0,1530.0,1434.8,1489.89,568.66028
85,1584825300000.0,1493.87,1515.83,1467.14,1484.11,247.156727
86,1584826200000.0,1482.0,1506.32,1369.77,1381.95,679.530921
87,1584827100000.0,1381.95,1397.99,1310.0,1330.51,697.68981
88,1584828000000.0,1339.03,1342.29,1277.16,1330.01,892.939233
89,1584828900000.0,1330.01,1366.34,1320.61,1361.5,313.1998
90,1584829800000.0,1365.42,1380.0,1345.19,1360.0,211.083326
91,1584830700000.0,1360.21,1373.98,1326.5,1328.52,146.004648
92,1584831600000.0,1326.81,1366.66,1322.15,1342.73,192.11295
93,1584832500000.0,1343.95,1355.39,1337.57,1348.02,163.94561
94,1584833400000.0,1343.53,1343.53,1302.0,1335.0,144.76985
95,1584834300000.0,1334.01,1352.13,1317.22,1349.29,158.949861
96,1584835200000.0,1344.88,1344.93,1288.28,1305.42,306.982447
97,1584836100000.0,1303.87,1330.63,1300.0,1317.7,128.860603
98,1584837000000.0,1317.7,1332.93,1313.95,1319.2,40.847148
99,1584837900000.0,1318.22,1361.59,1317.78,1351.44,149.134039
100,1584838800000.0,1354.84,1365.81,1337.5,1365.33,173.809511
101,1584839700000.0,1366.24,1416.62,1359.35,1392.79,524.593564
102,1584840600000.0,1393.0,1400.11,1355.07,1377.86,259.485915
103,1584841500000.0,1377.85,1409.16,1373.86,1392.16,146.481537
104,1584842400000.0,1396.06,1446.35,1396.06,1418.12,246.993048
105,1584843300000.0,1416.0,1424.67,1395.55,1405.99,109.017284
106,1584844200000.0,1406.0,1437.34,1400.4,1425.0,80.343324
107,1584845100000.0,1426.85,1426.85,1400.99,1401.03,86.395811
108,1584846000000.0,1401.03,1405.53,1385.17,1397.49,241.775957
109,1584846900000.0,1399.59,1423.04,1399.59,1405.0,100.31091
110,1584847800000.0,1407.84,1448.49,1407.84,1434.0,124.837265
111,1584848700000.0,1435.04,1461.55,1435.0,1454.99,157.275722
112,1584849600000.0,1457.83,1482.01,1421.01,1433.48,144.227326
113,1584850500000.0,1436.88,1459.96,1430.55,1441.74,124.903462
114,1584851400000.0,1445.0,1445.0,1416.95,1436.31,184.802391
115,1584852300000.0,1435.41,1440.44,1409.94,1421.58,134.858813
116,1584853200000.0,1426.22,1459.93,1426.22,1449.4,123.679211
117,1584854100000.0,1451.99,1459.0,1437.27,1459.0,114.908442
118,1584855000000.0,1459.0,1485.22,1455.0,1471.05,137.841793
119,1584855900000.0,1469.34,1474.85,1451.92,1462.54,96.749656
120,1584856800000.0,1464.77,1496.0,1452.2,1456.4,217.52604
121,1584857700000.0,1456.0,1461.88,1436.0,1439.05,112.622019
122,1584858600000.0,1436.44,1451.06,1425.9,1441.61,180.974319
123,1584859500000.0,1452.66,1459.95,1415.88,1425.55,160.819263
124,1584860400000.0,1429.45,1439.0,1401.58,1410.0,98.115429
125,1584861300000.0,1413.63,1428.84,1400.0,1426.43,110.871909
126,1584862200000.0,1423.01,1445.59,1422.03,1444.04,129.374006
127,1584863100000.0,1444.04,1444.04,1415.12,1415.12,109.738379
128,1584864000000.0,1420.77,1430.08,1408.23,1428.89,88.430581
129,1584864900000.0,1431.92,1435.04,1381.26,1399.0,356.940957
130,1584865800000.0,1401.2,1414.09,1391.86,1396.12,68.143937
131,1584866700000.0,1391.64,1395.65,1360.01,1387.0,229.930022
132,1584867600000.0,1387.0,1391.56,1362.51,1382.79,169.530382
133,1584868500000.0,1386.81,1399.98,1382.79,1396.19,101.738748
134,1584869400000.0,1393.64,1430.0,1388.01,1422.99,136.828858
135,1584870300000.0,1420.8,1437.18,1407.54,1428.85,153.420959
136,1584871200000.0,1428.84,1429.78,1403.0,1417.0,156.006087
137,1584872100000.0,1412.62,1421.18,1400.12,1419.38,93.653986
138,1584873000000.0,1419.87,1427.0,1345.02,1400.13,517.791875
139,1584873900000.0,1402.07,1414.59,1391.58,1395.21,151.303986
140,1584874800000.0,1395.21,1395.21,1379.0,1391.41,97.758245
141,1584875700000.0,1389.55,1408.31,1375.04,1380.0,87.336567
142,1584876600000.0,1380.0,1387.6,1345.0,1361.81,136.670507
143,1584877500000.0,1359.02,1389.04,1312.0,1325.0,486.633832
144,1584878400000.0,1325.0,1353.92,1209.59,1246.06,1187.366314
145,1584879300000.0,1245.03,1257.5,1180.0,1247.13,1350.060424
146,1584880200000.0,1247.13,1285.0,1230.0,1257.0,563.333939
147,1584881100000.0,1257.0,1272.63,1241.01,1242.53,195.848802
148,1584882000000.0,1241.03,1272.22,1204.57,1263.1,441.789204
149,1584882900000.0,1263.09,1318.74,1257.52,1299.94,267.709624
150,1584883800000.0,1295.0,1296.41,1277.27,1290.01,190.785583
151,1584884700000.0,1290.01,1305.17,1246.08,1272.0,292.890346
152,1584885600000.0,1268.57,1278.0,1255.02,1273.89,59.71196
153,1584886500000.0,1269.98,1270.78,1237.72,1253.98,153.236596
154,1584887400000.0,1250.59,1265.59,1240.0,1240.0,203.55517
155,1584888300000.0,1240.0,1284.14,1220.02,1279.98,346.321992
156,1584889200000.0,1278.45,1278.45,1245.0,1248.12,119.366918
157,1584890100000.0,1252.41,1254.08,1222.11,1238.6,186.188179
158,1584891000000.0,1236.68,1263.14,1180.0,1251.93,400.789709
159,1584891900000.0,1254.46,1298.24,1249.84,1281.0,405.784935
160,1584892800000.0,1279.28,1319.0,1259.04,1266.09,368.223343
161,1584893700000.0,1264.61,1277.63,1241.89,1249.01,157.161319
162,1584894600000.0,1249.01,1271.98,1247.05,1265.0,112.610371
163,1584895500000.0,1265.0,1266.6,1240.0,1253.17,111.908076
164,1584896400000.0,1254.79,1254.79,1210.0,1214.58,374.276161
165,1584897300000.0,1214.58,1261.01,1201.01,1250.29,194.713508
166,1584898200000.0,1249.15,1280.0,1240.0,1247.73,210.991704
167,1584899100000.0,1247.73,1247.73,1233.37,1237.95,80.805794
168,1584900000000.0,1237.95,1250.45,1204.01,1217.0,316.890321
169,1584900900000.0,1217.0,1237.08,1190.0,1203.95,337.933321
170,1584901800000.0,1200.0,1244.11,1140.01,1229.16,783.451816
171,1584902700000.0,1228.06,1234.48,1208.2,1222.32,234.988273
172,1584903600000.0,1221.89,1226.46,1188.0,1192.93,313.550219
173,1584904500000.0,1199.1,1206.0,1176.96,1182.29,154.713406
174,1584905400000.0,1183.33,1202.79,1160.94,1200.93,276.138253
175,1584906300000.0,1198.09,1209.32,1170.97,1173.56,182.978203
176,1584907200000.0,1170.03,1176.33,1085.0,1122.83,1314.673039
177,1584908100000.0,1122.83,1170.0,1116.89,1149.31,500.635284
178,1584909000000.0,1147.34,1168.0,1140.0,1151.75,277.649744
179,1584909900000.0,1151.71,1190.0,1140.0,1183.37,491.387196
180,1584910800000.0,1186.55,1252.26,1174.76,1242.73,396.002253
181,1584911700000.0,1242.02,1247.67,1201.63,1203.02,238.64018
182,1584912600000.0,1209.04,1292.0,1209.04,1290.0,319.248971
183,1584913500000.0,1290.0,1317.9,1245.24,1265.25,562.336094
184,1584914400000.0,1264.16,1265.25,1201.0,1210.77,468.1074
185,1584915300000.0,1210.0,1227.99,1190.0,1214.45,252.566539
186,1584916200000.0,1221.68,1233.38,1156.0,1163.78,204.368847
187,1584917100000.0,1168.81,1172.03,1130.0,1145.15,317.111978
188,1584918000000.0,1145.0,1175.77,1117.07,1129.97,310.922664
189,1584918900000.0,1130.0,1158.73,1123.47,1144.0,286.511052
190,1584919800000.0,1142.09,1142.09,1056.23,1110.01,540.430352
191,1584920700000.0,1110.02,1131.24,1105.17,1113.0,208.552581
192,1584921600000.0,1112.22,1174.08,1025.0,1153.43,821.59219
193,1584922500000.0,1152.1,1178.2,1127.85,1163.26,255.548211
194,1584923400000.0,1163.25,1170.85,1146.0,1147.01,270.125288
195,1584924300000.0,1149.26,1171.51,1149.26,1155.91,145.726352
196,1584925200000.0,1155.91,1165.74,1134.85,1153.35,208.0564
197,1584926100000.0,1159.26,1178.21,1151.66,1154.78,216.309505
198,1584927000000.0,1152.23,1159.75,1137.15,1148.08,99.694663
199,1584927900000.0,1142.7,1148.82,1121.61,1140.29,162.619508
200,1584928800000.0,1141.56,1149.62,1131.1,1139.76,53.409724
201,1584929700000.0,1136.0,1136.0,1120.17,1123.21,82.379944
202,1584930600000.0,1123.21,1137.76,1116.89,1125.12,87.449118
203,1584931500000.0,1127.09,1159.57,1125.0,1157.12,106.38948
204,1584932400000.0,1157.12,1165.0,1143.69,1154.85,173.456898
205,1584933300000.0,1151.83,1183.05,1148.2,1183.05,151.488854
206,1584934200000.0,1183.05,1207.81,1175.79,1198.48,250.140934
207,1584935100000.0,1201.05,1207.0,1181.01,1195.53,118.96959
208,1584936000000.0,1193.31,1210.93,1184.32,1195.0,99.374546
209,1584936900000.0,1196.91,1196.91,1165.16,1170.01,296.982287
210,1584937800000.0,1175.51,1179.97,1141.17,1153.61,179.791461
211,1584938700000.0,1153.61,1168.99,1141.98,1160.66,110.229243
212,1584939600000.0,1157.85,1172.63,1153.44,1161.0,75.725724
213,1584940500000.0,1162.03,1167.79,1141.62,1167.79,178.679781
214,1584941400000.0,1164.5,1169.16,1143.5,1150.01,67.262295
215,1584942300000.0,1150.06,1151.31,1131.43,1148.62,114.290046
216,1584943200000.0,1146.96,1163.35,1144.0,1156.69,100.293325
217,1584944100000.0,1159.22,1177.25,1157.33,1161.3,140.163003
218,1584945000000.0,1161.31,1166.66,1150.3,1153.07,49.064615
219,1584945900000.0,1150.04,1173.0,1145.65,1164.36,65.67395
220,1584946800000.0,1168.78,1173.0,1159.76,1160.0,69.74532
221,1584947700000.0,1159.15,1160.07,1146.35,1150.89,70.507759
222,1584948600000.0,1150.93,1156.0,1138.03,1141.39,113.926624
223,1584949500000.0,1141.09,1147.85,1128.0,1130.54,145.803395
224,1584950400000.0,1131.4,1149.86,1131.4,1141.63,106.717876
225,1584951300000.0,1139.3,1141.5,1117.43,1132.85,119.07275
226,1584952200000.0,1131.47,1133.0,1087.78,1101.44,298.710642
227,1584953100000.0,1101.77,1109.99,1080.0,1086.04,232.839444
228,1584954000000.0,1086.04,1112.21,1084.15,1097.0,250.051843
229,1584954900000.0,1097.11,1100.0,1065.62,1082.41,341.190319
230,1584955800000.0,1082.41,1104.48,1082.4,1095.44,174.125518
231,1584956700000.0,1097.05,1118.83,1097.01,1098.26,222.922219
232,1584957600000.0,1098.0,1117.0,1094.11,1111.75,108.076573
233,1584958500000.0,1112.0,1130.86,1102.99,1127.37,196.66645
234,1584959400000.0,1125.88,1131.31,1114.32,1114.32,111.883654
235,1584960300000.0,1112.5,1143.69,1109.85,1134.61,113.389187
236,1584961200000.0,1136.39,1175.0,1136.39,1150.05,357.991465
237,1584962100000.0,1150.04,1157.97,1133.57,1137.24,157.894405
238,1584963000000.0,1136.64,1141.17,1121.57,1141.0,184.03693
239,1584963900000.0,1138.82,1138.82,1110.67,1124.13,71.711901
240,1584964800000.0,1127.84,1261.72,1127.84,1247.0,898.075325
241,1584965700000.0,1240.89,1413.88,1240.89,1357.84,1067.096491
242,1584966600000.0,1358.34,1456.0,1322.89,1366.51,1086.188919
243,1584967500000.0,1370.0,1439.02,1365.79,1404.06,639.759898
244,1584968400000.0,1403.0,1590.0,1397.3,1439.54,1172.749357
245,1584969300000.0,1449.99,1475.36,1352.0,1380.84,885.802768
246,1584970200000.0,1375.01,1390.39,1295.94,1345.46,989.410246
247,1584971100000.0,1338.04,1390.0,1312.51,1388.05,560.98308
248,1584972000000.0,1387.33,1398.2,1340.0,1393.68,398.51907
249,1584972900000.0,1393.68,1410.0,1345.5,1360.0,469.893524
250,1584973800000.0,1360.0,1383.62,1343.35,1383.03,158.165058
251,1584974700000.0,1376.38,1378.0,1330.01,1347.23,331.457262
252,1584975600000.0,1347.23,1364.28,1342.73,1352.15,100.140801
253,1584976500000.0,1360.0,1370.3,1335.01,1336.72,126.425606
254,1584977400000.0,1342.23,1354.66,1313.0,1313.61,271.408024
255,1584978300000.0,1313.0,1350.49,1310.01,1349.98,268.608051
256,1584979200000.0,1350.49,1378.0,1347.74,1366.73,329.527947
257,1584980100000.0,1367.87,1410.0,1363.92,1367.28,400.689322
258,1584981000000.0,1368.25,1400.0,1350.0,1384.45,171.232485
259,1584981900000.0,1388.25,1444.0,1384.65,1437.88,394.577936
260,1584982800000.0,1439.0,1441.0,1389.2,1413.11,212.141047
261,1584983700000.0,1413.11,1424.71,1380.01,1383.98,332.793145
262,1584984600000.0,1382.49,1400.0,1372.69,1385.77,298.99528
